r1_sys,c11_sys,c12_sys,r2_sys,c12_sys,c22_sys,cus_pri,strategy
Uninterruptible,,,Uninterruptible,,,r2,DL
Uninterruptible,,,Uninterruptible,,,r1,DL
Uninterruptible,,,Pausable,,,r2,DL
Uninterruptible,,,Pausable,,,r1,DL
Uninterruptible,,,,,,r2,IN
Uninterruptible,,,,,,r1,IN
Pausable,,,Uninterruptible,,,r2,PZ
Pausable,,,Uninterruptible,,,r1,PZ
Pausable,,,Pausable,,,r2,DL
Pausable,,,Pausable,,,r1,PZ
Pausable,,,,,,r2,IN
Pausable,,,,,,r1,PZ
,,,Uninterruptible,,,r2,TC
,,,Uninterruptible,,,r1,TC
,,,Pausable,,,r2,DL
,,,Pausable,,,r1,TC
,,,,,,r2,IN
,,,,,,r1,TC
